,dayl (s),prcp (mm/day),srad (W/m2),swe (kg/m2),tmax (degrees C),tmin (degrees C),vp (Pa)
2008-04-14,47391.71875,0.0,413.8399963378906,0.0,9.6899995803833,-0.800000011920929,576.280029296875
2008-04-15,47560.26171875,0.0,511.2799987792969,0.0,13.34000015258789,-3.7100000381469727,464.3500061035156
2008-04-16,47728.0,0.0,533.739990234375,0.0,20.479999542236328,-1.870000004768372,532.3099975585938
2008-04-17,47894.921875,0.0,529.9600219726562,0.0,25.799999237060547,1.950000047683716,702.7000122070312
2008-04-18,48060.94921875,0.0,522.780029296875,0.0,27.0,3.900000095367432,807.2000122070312
2008-04-19,48226.078125,0.0,507.8900146484375,0.0,28.13999938964844,6.53000020980835,969.5800170898438
2008-04-20,48390.23828125,0.0,395.3299865722656,0.0,24.61000061035156,11.8100004196167,1384.1300048828125
2008-04-21,48553.3984375,0.0,420.2300109863281,0.0,24.239999771118164,10.220000267028809,1245.4200439453125
2008-04-22,48715.51171875,0.0,479.7799987792969,0.0,25.09000015258789,7.050000190734863,1004.530029296875
2008-04-23,48876.53125,2.8299999237060547,312.2799987792969,0.0,23.61000061035156,9.619999885559082,1196.6099853515625
2008-04-24,49036.41015625,0.0,464.7900085449219,0.0,20.479999542236328,4.409999847412109,836.8900146484375
2008-04-25,49195.1015625,0.0,522.2999877929688,0.0,25.309999465942383,3.0199999809265137,758.4600219726562
2008-04-26,49352.55859375,30.8799991607666,357.29998779296875,0.0,26.440000534057617,7.980000019073486,1070.6099853515625
2008-04-27,49508.71875,0.8700000047683716,352.0400085449219,0.0,19.540000915527344,8.40999984741211,1102.739990234375
2008-04-28,49663.55078125,7.150000095367432,122.0999984741211,0.0,12.470000267028809,7.900000095367432,1064.6199951171875
2008-04-29,49816.98828125,0.0,256.1400146484375,0.0,9.6899995803833,2.5999999046325684,736.47998046875
2008-04-30,49968.98828125,0.0,369.9599914550781,0.0,9.84000015258789,-0.75,578.0700073242188
2008-05-01,50119.48828125,1.0099999904632568,503.05999755859375,0.0,15.3100004196167,-2.190000057220459,520.1699829101562
2008-05-02,50268.44921875,0.3100000023841858,435.4800109863281,0.0,18.229999542236328,4.269999980926514,828.7000122070312
2008-05-03,50415.7890625,8.779999732971191,213.97999572753903,0.0,19.059999465942383,10.859999656677246,1299.6500244140625
2008-05-04,50561.48046875,0.0,307.8399963378906,0.0,15.399999618530272,6.789999961853027,986.72998046875
2008-05-05,50705.44140625,0.0,514.2000122070312,0.0,19.700000762939453,0.8700000047683716,650.3400268554688
2008-05-06,50847.62890625,0.0,459.9800109863281,0.0,19.8799991607666,4.75,856.97998046875
2008-05-07,50987.96875,2.150000095367432,384.6700134277344,0.0,24.170000076293945,4.329999923706055,832.3300170898438
2008-05-08,51126.4296875,0.0,325.989990234375,0.0,16.809999465942383,7.369999885559082,1027.1500244140625
2008-05-09,51262.921875,0.0,408.1000061035156,0.0,16.1200008392334,3.75,798.5399780273438
2008-05-10,51397.3984375,0.0,454.3200073242188,0.0,17.479999542236328,2.819999933242798,747.9099731445312
2008-05-11,51529.7890625,0.0,496.55999755859375,0.0,19.34000015258789,1.8200000524520876,696.5999755859375
2008-05-12,51660.05078125,0.0,358.44000244140625,0.0,16.950000762939453,6.25,950.989990234375
2008-05-13,51788.1015625,0.0,515.4600219726562,0.0,21.700000762939453,2.0199999809265137,706.3599853515625
2008-05-14,51913.87890625,2.400000095367432,386.6000061035156,0.0,23.8700008392334,3.380000114440918,778.27001953125
2008-05-15,52037.328125,0.0,272.7799987792969,0.0,16.670000076293945,8.59000015258789,1116.4599609375
2008-05-16,52158.390625,6.699999809265137,157.6999969482422,0.0,12.390000343322754,6.599999904632568,974.1099853515624
2008-05-17,52276.98046875,4.190000057220459,347.04998779296875,0.0,18.46999931335449,3.539999961853028,786.9000244140625
2008-05-18,52393.05859375,2.0999999046325684,251.7100067138672,0.0,13.550000190734863,4.360000133514404,834.0499877929688
2008-05-19,52506.55078125,0.0,267.0,0.0,10.5600004196167,3.7899999618530273,800.8800048828125
2008-05-20,52617.37890625,0.0,471.25,0.0,15.350000381469728,1.25,668.72998046875
2008-05-21,52725.51171875,0.7300000190734863,334.7900085449219,0.0,12.699999809265137,4.010000228881836,813.760009765625
2008-05-22,52830.859375,0.800000011920929,312.8900146484375,0.0,13.149999618530272,5.28000020980835,888.8900146484375
2008-05-23,52933.37109375,0.0,402.2900085449219,0.0,17.079999923706055,6.260000228881836,951.75
2008-05-24,53032.96875,0.0,479.5400085449219,0.0,19.25,5.010000228881836,872.8499755859375
2008-05-25,53129.62109375,0.0,552.5999755859375,0.0,24.270000457763672,3.670000076293945,764.9199829101562
2008-05-26,53223.23828125,0.0,528.8200073242188,0.0,27.809999465942383,8.739999771118164,1076.47998046875
2008-05-27,53313.76953125,0.0,376.5899963378906,0.0,21.81999969482422,11.609999656677246,1365.8499755859375
2008-05-28,53401.171875,0.0,494.3800048828125,0.0,16.739999771118164,1.8200000524520876,696.489990234375
2008-05-29,53485.359375,0.0,555.5,0.0,23.020000457763672,1.75,657.7000122070312
2008-05-30,53566.30078125,2.7699999809265137,406.5299987792969,0.0,24.809999465942383,3.890000104904175,806.6400146484375
2008-05-31,53643.921875,3.039999961853028,334.0299987792969,0.0,25.57999992370605,11.34000015258789,1341.8900146484375
2008-06-01,53718.1796875,0.0,310.760009765625,0.0,19.57999992370605,11.119999885559082,1322.3699951171875
2008-06-02,53789.03125,0.0,503.25,0.0,24.899999618530277,7.590000152587891,1002.4099731445312
2008-06-03,53856.3984375,1.5399999618530271,454.1499938964844,0.0,24.21999931335449,9.720000267028809,1143.5
2008-06-04,53920.26171875,0.0,319.7300109863281,0.0,22.600000381469727,13.550000190734863,1551.530029296875
2008-06-05,53980.55859375,0.0,370.3500061035156,0.0,27.450000762939453,16.25,1836.6099853515625
2008-06-06,54037.25,0.0,439.7699890136719,0.0,33.41999816894531,18.6200008392334,1889.719970703125
2008-06-07,54090.30078125,0.0,423.3999938964844,0.0,34.11000061035156,20.049999237060547,1940.5400390625
2008-06-08,54139.6484375,3.259999990463257,299.8699951171875,0.0,31.90999984741211,18.84000015258789,2095.760009765625
2008-06-09,54185.28125,0.0,426.8699951171875,0.0,34.77000045776367,20.3799991607666,1986.3299560546875
2008-06-10,54227.1484375,5.550000190734863,323.75,0.0,31.649999618530277,17.350000381469727,1871.5
2008-06-11,54265.23046875,0.0,447.9599914550781,0.0,27.75,13.649999618530272,1332.9200439453125
2008-06-12,54299.48828125,0.0,468.8500061035156,0.0,26.13999938964844,11.420000076293944,1139.0400390625
2008-06-13,54329.8984375,0.0,527.2000122070312,0.0,31.020000457763672,11.869999885559082,1033.199951171875
2008-06-14,54356.4296875,5.539999961853027,245.6199951171875,0.0,26.799999237060547,17.239999771118164,1966.699951171875
2008-06-15,54379.078125,10.239999771118164,300.69000244140625,0.0,28.76000022888184,16.149999618530273,1804.1700439453125
2008-06-16,54397.80859375,3.990000009536743,296.3500061035156,0.0,26.51000022888184,14.510000228881836,1651.280029296875
2008-06-17,54412.62109375,2.75,177.25999450683594,0.0,19.270000457763672,13.010000228881836,1498.0400390625
